model,allocation,tie_rule,score,clip,source_group,N,B,A,E,risk,retention,risk_pass,coverage_pass,joint_pass,zero_retained,count_lower_bound
Combined,global,identity,negative_area_fraction,case97_1,case97,2400,2125,793,518,0.6532156368221942,0.3304166666666667,False,False,False,False,0.6532156368221942
Combined,global,identity,negative_area_fraction,case97_3,case97,2032,837,1570,375,0.23885350318471338,0.7726377952755905,False,True,False,False,0.23885350318471338
Combined,global,sha256,confidence_deficit,case10_1,case10,3408,1357,2741,690,0.2517329441809559,0.8042840375586855,False,True,False,False,0.2517329441809559
Combined,global,sha256,confidence_deficit,case11,case11,1808,69,1768,29,0.016402714932126698,0.9778761061946902,True,True,True,False,0.016402714932126698
Combined,global,sha256,confidence_deficit,case12_2,case12,3968,869,3439,340,0.09886594940389648,0.8666834677419355,True,True,True,False,0.09886594940389648
Combined,global,sha256,confidence_deficit,case13_1,case13,1568,219,1547,198,0.1279896574014221,0.9866071428571429,True,True,True,False,0.1279896574014221
Combined,global,sha256,confidence_deficit,case13_3,case13,2816,34,2810,28,0.0099644128113879,0.9978693181818182,True,True,True,False,0.0099644128113879
Combined,global,sha256,confidence_deficit,case14_2,case14,2400,2376,752,728,0.9680851063829787,0.31333333333333335,False,False,False,False,0.9680851063829787
Combined,global,sha256,confidence_deficit,case14_4,case14,2320,2114,1235,1029,0.8331983805668016,0.5323275862068966,False,True,False,False,0.8331983805668016
Combined,global,sha256,confidence_deficit,case14_6,case14,3200,3098,990,888,0.896969696969697,0.309375,False,False,False,False,0.896969696969697
Combined,global,sha256,confidence_deficit,case1_2,case1,3456,3,3453,0,0.0,0.9991319444444444,True,True,True,False,0.0
Combined,global,sha256,confidence_deficit,case20_7,case20,2720,940,2275,495,0.2175824175824176,0.8363970588235294,False,True,False,False,0.2175824175824176
Combined,global,sha256,confidence_deficit,case20_9,case20,2400,610,2020,230,0.11386138613861387,0.8416666666666667,True,True,True,False,0.11386138613861387
Combined,global,sha256,confidence_deficit,case24_1,case24,2400,178,2377,155,0.06520824568784182,0.9904166666666666,True,True,True,False,0.06520824568784182
Combined,global,sha256,confidence_deficit,case24_3,case24,2432,0,2432,0,0.0,1.0,True,True,True,False,0.0
Combined,global,sha256,confidence_deficit,case24_5,case24,2400,55,2385,40,0.016771488469601678,0.99375,True,True,True,False,0.016771488469601678
Combined,global,sha256,confidence_deficit,case25_2,case25,2176,101,2148,73,0.03398510242085661,0.9871323529411765,True,True,True,False,0.03398510242085661
Combined,global,sha256,confidence_deficit,case29_1,case29,3424,463,3214,253,0.07871810827629122,0.9386682242990654,True,True,True,False,0.07871810827629122
Combined,global,sha256,confidence_deficit,case2_3,case2,2400,0,2400,0,0.0,1.0,True,True,True,False,0.0
Combined,global,sha256,confidence_deficit,case2_6,case2,1584,0,1584,0,0.0,1.0,True,True,True,False,0.0
Combined,global,sha256,confidence_deficit,case2_9,case2,1792,0,1792,0,0.0,1.0,True,True,True,False,0.0
Combined,global,sha256,confidence_deficit,case31,case31,2928,58,2925,55,0.018803418803418803,0.9989754098360656,True,True,True,False,0.018803418803418803
Combined,global,sha256,confidence_deficit,case32_2,case32,1600,7,1600,7,0.004375,1.0,True,True,True,False,0.004375
Combined,global,sha256,confidence_deficit,case32_4,case32,2960,459,2762,261,0.0944967414916727,0.9331081081081081,True,True,True,False,0.0944967414916727
Combined,global,sha256,confidence_deficit,case32_6,case32,2736,36,2726,26,0.009537784299339692,0.9963450292397661,True,True,True,False,0.009537784299339692
Combined,global,sha256,confidence_deficit,case34_2,case34,1984,26,1982,24,0.012108980827447022,0.998991935483871,True,True,True,False,0.012108980827447022
Combined,global,sha256,confidence_deficit,case35_2,case35,1440,0,1440,0,0.0,1.0,True,True,True,False,0.0
Combined,global,sha256,confidence_deficit,case35_8,case35,1856,369,1839,352,0.1914083741163676,0.9908405172413793,False,True,False,False,0.1914083741163676
Combined,global,sha256,confidence_deficit,case36_2,case36,2400,1799,1708,1107,0.6481264637002342,0.7116666666666667,False,True,False,False,0.6481264637002342
Combined,global,sha256,confidence_deficit,case36_4,case36,2048,1964,1274,1190,0.9340659340659341,0.6220703125,False,True,False,False,0.9340659340659341
Combined,global,sha256,confidence_deficit,case37_2,case37,2544,213,2468,137,0.05551053484602917,0.970125786163522,True,True,True,False,0.05551053484602917
Combined,global,sha256,confidence_deficit,case38_2,case38,4064,1552,3347,835,0.24947714371078578,0.8235728346456693,False,True,False,False,0.24947714371078578
Combined,global,sha256,confidence_deficit,case39_2,case39,4320,517,4152,349,0.08405587668593449,0.9611111111111111,True,True,True,False,0.08405587668593449
Combined,global,sha256,confidence_deficit,case3_1,case3,3168,314,3017,163,0.054027179317202516,0.9523358585858586,True,True,True,False,0.054027179317202516
Combined,global,sha256,confidence_deficit,case40,case40,2544,643,2160,259,0.11990740740740741,0.8490566037735849,True,True,True,False,0.11990740740740741
Combined,global,sha256,confidence_deficit,case43,case43,4160,269,3958,67,0.016927741283476502,0.9514423076923076,True,True,True,False,0.016927741283476502
Combined,global,sha256,confidence_deficit,case47_2,case47,2400,118,2349,67,0.02852277564921243,0.97875,True,True,True,False,0.02852277564921243
Combined,global,sha256,confidence_deficit,case47_4,case47,2128,0,2128,0,0.0,1.0,True,True,True,False,0.0
Combined,global,sha256,confidence_deficit,case48,case48,2816,649,2445,278,0.11370143149284254,0.8682528409090909,True,True,True,False,0.11370143149284254
Combined,global,sha256,confidence_deficit,case50_2,case50,2400,14,2398,12,0.0050041701417848205,0.9991666666666666,True,True,True,False,0.0050041701417848205
Combined,global,sha256,confidence_deficit,case50_4,case50,3792,273,3692,173,0.04685807150595883,0.9736286919831224,True,True,True,False,0.04685807150595883
Combined,global,sha256,confidence_deficit,case51_10,case51,3488,64,3483,59,0.016939420040195233,0.9985665137614679,True,True,True,False,0.016939420040195233
Combined,global,sha256,confidence_deficit,case51_3,case51,3360,302,3214,156,0.04853764779091475,0.9565476190476191,True,True,True,False,0.04853764779091475
Combined,global,sha256,confidence_deficit,case51_5,case51,2400,221,2277,98,0.043039086517347384,0.94875,True,True,True,False,0.043039086517347384
Combined,global,sha256,confidence_deficit,case51_7,case51,2144,560,1694,110,0.06493506493506493,0.7901119402985075,True,True,True,False,0.06493506493506493
Combined,global,sha256,confidence_deficit,case51_9,case51,2400,617,2287,504,0.22037603847835593,0.9529166666666666,False,True,False,False,0.22037603847835593
Combined,global,sha256,confidence_deficit,case54_1,case54,3376,1710,2056,390,0.18968871595330739,0.6090047393364929,False,True,False,False,0.18968871595330739
Combined,global,sha256,confidence_deficit,case56_1,case56,2400,126,2351,77,0.0327520204168439,0.9795833333333334,True,True,True,False,0.0327520204168439
Combined,global,sha256,confidence_deficit,case5_4,case5,2400,19,2395,14,0.005845511482254697,0.9979166666666667,True,True,True,False,0.005845511482254697
Combined,global,sha256,confidence_deficit,case60,case60,2336,1658,1575,897,0.5695238095238095,0.6742294520547946,False,True,False,False,0.5695238095238095
Combined,global,sha256,confidence_deficit,case61_3,case61,3536,203,3468,135,0.03892733564013841,0.9807692307692307,True,True,True,False,0.03892733564013841
Combined,global,sha256,confidence_deficit,case63_3,case63,2768,68,2747,47,0.017109574080815437,0.9924132947976878,True,True,True,False,0.017109574080815437
